GameID,Team A,Team A Score,Team A WKLoss,Team B,Team B Score,Team B WKLoss,DT_firstInning,DT_secondInning,DT_Points_TeamA,DT_Points_TeamB,DT_C_Team,DT_C_BattingOrder,DT_C_BattingOrder_Inning,DT_C_Position_Inning,DT_VC_Team,DT_VC_BattingOrder,DT_VC_BattingOrder_Inning,DT_VC_Position_Inning,DT_C_Position,DT_VC_Position,DT_CVC,DT_TeamA_PlayersCount,DT_TeamB_PlayersCount,DT_Ratio_of_Players,DT_CVC_Ratio,DT_C_Ratio_Inning,DT_VC_Ratio_Inning,DT_C_Position_Ratio_of_Players,DT_VC_Position_Ratio_of_Players,DT_TeamA_PrevMatch_PlayerCount,DT_TeamA_PrevMatch_Captain,DT_TeamA_PrevMatch_Vice-Captain,DT_TeamB_PrevMatch_PlayerCount,DT_TeamB_PrevMatch_Captain,DT_TeamB_PrevMatch_Vice-Captain
20240322RCBCSK,RCB,MED,MED,CSK,MED,LOW,RCB,CSK,263,380,CSK,12,12_2nd Inning,BOWL_2nd Inning,RCB,5,5_1st Inning,ALL_1st Inning,BOWL,ALL,Different,4,7,7:4,Different_7:4,Different_2nd Inning_7:4,Different_1st Inning_7:4,Different_BOWL_7:4,Different_ALL_7:4,,,,,,
20240323DCPBKS,DC,MED,HIGH,PBKS,MED,MED,DC,PBKS,321,305,PBKS,4,4_2nd Inning,ALL_2nd Inning,PBKS,6,6_2nd Inning,ALL_2nd Inning,ALL,ALL,Same,6,5,6:5,Same_6:5,Same_2nd Inning_6:5,Same_2nd Inning_6:5,Same_ALL_6:5,Same_ALL_6:5,,,,,,
20240323SRHKKR,SRH,HIGH,MED,KKR,HIGH,MED,KKR,SRH,381,419,KKR,8,8_1st Inning,ALL_1st Inning,SRH,5,5_2nd Inning,WK_2nd Inning,ALL,WK,Different,6,5,6:5,Different_6:5,Different_1st Inning_6:5,Different_2nd Inning_6:5,Different_ALL_6:5,Different_WK_6:5,,,,,,
20240324LSGRR,LSG,MED,MED,RR,HIGH,LOW,RR,LSG,290,397,RR,3,3_1st Inning,WK_1st Inning,LSG,2,2_2nd Inning,WK_2nd Inning,WK,WK,Different,4,7,7:4,Different_7:4,Different_1st Inning_7:4,Different_2nd Inning_7:4,Different_WK_7:4,Different_WK_7:4,,,,,,
20240324MIGT,MI,MED,HIGH,GT,MED,MED,GT,MI,337,349,MI,11,11_2nd Inning,BOWL_2nd Inning,GT,4,4_1st Inning,ALL_1st Inning,BOWL,ALL,Different,5,6,6:5,Different_6:5,Different_2nd Inning_6:5,Different_1st Inning_6:5,Different_BOWL_6:5,Different_ALL_6:5,,,,,,
20240325PBKSRCB,PBKS,MED,MED,RCB,MED,MED,PBKS,RCB,358,334,RCB,1,1_2nd Inning,BAT_2nd Inning,PBKS,8,8_1st Inning,BOWL_1st Inning,BAT,BOWL,Different,6,5,6:5,Different_6:5,Different_2nd Inning_6:5,Different_1st Inning_6:5,Different_BAT_6:5,Different_BOWL_6:5,5,Yes,Yes,4,No,Yes
20240326GTCSK,GT,MED,HIGH,CSK,HIGH,MED,CSK,GT,202,481,CSK,2,2_1st Inning,ALL_1st Inning,CSK,4,4_1st Inning,BAT_1st Inning,ALL,BAT,Same,4,7,7:4,Same_7:4,Same_1st Inning_7:4,Same_1st Inning_7:4,Same_ALL_7:4,Same_BAT_7:4,6,No,Yes,7,Yes,No
20240327MISRH,MI,HIGH,MED,SRH,HIGH,LOW,SRH,MI,344,501,SRH,5,5_1st Inning,WK_1st Inning,SRH,3,3_1st Inning,BAT_1st Inning,WK,BAT,Same,5,6,6:5,Same_6:5,Same_1st Inning_6:5,Same_1st Inning_6:5,Same_WK_6:5,Same_BAT_6:5,5,Yes,No,6,No,Yes
20240328DCRR,DC,MED,MED,RR,HIGH,MED,RR,DC,310,318,RR,4,4_1st Inning,ALL_1st Inning,DC,5,5_2nd Inning,BAT_2nd Inning,ALL,BAT,Different,6,5,6:5,Different_6:5,Different_1st Inning_6:5,Different_2nd Inning_6:5,Different_ALL_6:5,Different_BAT_6:5,6,No,No,7,Yes,No
20240329KKRRCB,KKR,HIGH,LOW,RCB,HIGH,MED,RCB,KKR,412,287,RCB,1,1_1st Inning,BAT_1st Inning,KKR,2,2_2nd Inning,ALL_2nd Inning,BAT,ALL,Different,6,5,6:5,Different_6:5,Different_1st Inning_6:5,Different_2nd Inning_6:5,Different_BAT_6:5,Different_ALL_6:5,5,Yes,No,5,Yes,No
20240330PBKSLSG,PBKS,MED,MED,LSG,HIGH,HIGH,LSG,PBKS,359,403,PBKS,1,1_2nd Inning,BAT_2nd Inning,LSG,1,1_1st Inning,BOWL_1st Inning,BAT,BOWL,Different,5,6,6:5,Different_6:5,Different_2nd Inning_6:5,Different_1st Inning_6:5,Different_BAT_6:5,Different_BOWL_6:5,6,No,Yes,4,No,Yes
20240331CSKDC,CSK,MED,MED,DC,HIGH,MED,DC,CSK,339,442,CSK,12,12_2nd Inning,BOWL_2nd Inning,DC,2,2_1st Inning,BOWL_1st Inning,BOWL,BOWL,Different,5,6,6:5,Different_6:5,Different_2nd Inning_6:5,Different_1st Inning_6:5,Different_BOWL_6:5,Different_BOWL_6:5,7,Yes,Yes,6,No,Yes
20240331SRHGT,SRH,MED,HIGH,GT,MED,LOW,SRH,GT,194,406,GT,12,12_2nd Inning,BOWL_2nd Inning,GT,4,4_2nd Inning,BAT_2nd Inning,BOWL,BAT,Same,4,7,7:4,Same_7:4,Same_2nd Inning_7:4,Same_2nd Inning_7:4,Same_BOWL_7:4,Same_BAT_7:4,6,Yes,Yes,4,No,No
20240401RRMI,RR,LOW,LOW,MI,LOW,HIGH,MI,RR,428,233,RR,9,9_2nd Inning,BOWL_2nd Inning,MI,11,11_1st Inning,BOWL_1st Inning,BOWL,BOWL,Different,7,4,7:4,Different_7:4,Different_2nd Inning_7:4,Different_1st Inning_7:4,Different_BOWL_7:4,Different_BOWL_7:4,0,No,No,5,No,No
20240402LSGRCB,LSG,HIGH,MED,RCB,MED,HIGH,LSG,RCB,517,194,LSG,1,1_1st Inning,WK_1st Inning,LSG,5,5_1st Inning,WK_1st Inning,WK,WK,Same,7,4,7:4,Same_7:4,Same_1st Inning_7:4,Same_1st Inning_7:4,Same_WK_7:4,Same_WK_7:4,6,No,Yes,5,Yes,No
20240403KKRDC,KKR,HIGH,MED,DC,MED,HIGH,KKR,DC,623,339,KKR,2,2_1st Inning,ALL_1st Inning,DC,6,6_2nd Inning,BAT_2nd Inning,ALL,BAT,Different,7,4,7:4,Different_7:4,Different_1st Inning_7:4,Different_2nd Inning_7:4,Different_ALL_7:4,Different_BAT_7:4,6,No,Yes,6,No,Yes
20240404PBKSGT,PBKS,HIGH,MED,GT,HIGH,LOW,GT,PBKS,327,310,GT,2,2_1st Inning,BAT_1st Inning,PBKS,6,6_2nd Inning,BAT_2nd Inning,BAT,BAT,Different,6,5,6:5,Different_6:5,Different_1st Inning_6:5,Different_2nd Inning_6:5,Different_BAT_6:5,Different_BAT_6:5,5,Yes,No,7,Yes,Yes
20240405CSKSRH,CSK,MED,MED,SRH,MED,LOW,CSK,SRH,274,287,SRH,3,3_2nd Inning,ALL_2nd Inning,CSK,8,8_1st Inning,ALL_1st Inning,ALL,ALL,Different,5,6,6:5,Different_6:5,Different_2nd Inning_6:5,Different_1st Inning_6:5,Different_ALL_6:5,Different_ALL_6:5,5,Yes,No,4,No,No
20240406RCBRR,RCB,HIGH,LOW,RR,HIGH,LOW,RCB,RR,360,356,RCB,1,1_1st Inning,BAT_1st Inning,RR,2,2_2nd Inning,WK_2nd Inning,BAT,WK,Different,6,5,6:5,Different_6:5,Different_1st Inning_6:5,Different_2nd Inning_6:5,Different_BAT_6:5,Different_WK_6:5,4,No,No,7,Yes,No
20240407DCMI,DC,HIGH,HIGH,MI,HIGH,MED,MI,DC,345,567,MI,9,9_1st Inning,BOWL_1st Inning,DC,4,4_2nd Inning,BAT_2nd Inning,BOWL,BAT,Different,4,7,7:4,Different_7:4,Different_1st Inning_7:4,Different_2nd Inning_7:4,Different_BOWL_7:4,Different_BAT_7:4,4,No,Yes,4,No,Yes
20240407GTLSG,GT,LOW,HIGH,LSG,MED,MED,LSG,GT,227,544,LSG,10,10_1st Inning,BOWL_1st Inning,LSG,7,7_1st Inning,ALL_1st Inning,BOWL,ALL,Same,4,7,7:4,Same_7:4,Same_1st Inning_7:4,Same_1st Inning_7:4,Same_BOWL_7:4,Same_ALL_7:4,5,Yes,No,7,Yes,Yes
20240408KKRCSK,KKR,MED,HIGH,CSK,MED,LOW,KKR,CSK,183,495,CSK,8,8_2nd Inning,ALL_2nd Inning,CSK,10,10_2nd Inning,BOWL_2nd Inning,ALL,BOWL,Same,3,8,8:3,Same_8:3,Same_2nd Inning_8:3,Same_2nd Inning_8:3,Same_ALL_8:3,Same_BOWL_8:3,7,Yes,No,5,No,Yes
