GameID,Team A,Team A Score,Team A WKLoss,Team B,Team B Score,Team B WKLoss,DT_firstInning,DT_secondInning,DT_Points_TeamA,DT_Points_TeamB,DT_C_Team,DT_C_Inning,DT_C_BattingOrder,DT_C_BattingOrder_Inning,DT_C_Position_Inning,DT_VC_Team,DT_VC_Inning,DT_VC_BattingOrder,DT_VC_BattingOrder_Inning,DT_VC_Position_Inning,DT_C_Position,DT_VC_Position,DT_CVC,DT_TeamA_PlayersCount,DT_TeamB_PlayersCount,DT_Ratio_of_Players,DT_CVC_Ratio,DT_C_Ratio_Inning,DT_VC_Ratio_Inning,DT_C_Position_Ratio_of_Players,DT_VC_Position_Ratio_of_Players,DT_C_BattingOrder_Ratio_Inning,DT_VC_BattingOrder_Ratio_Inning,DT_TeamA_PrevMatch_PlayerCount,DT_TeamA_PrevMatch_Captain,DT_TeamA_PrevMatch_Vice-Captain,DT_TeamB_PrevMatch_PlayerCount,DT_TeamB_PrevMatch_Captain,DT_TeamB_PrevMatch_Vice-Captain
20240531SURGLAM,SUR,HIGH,HIGH,GLAM,HIGH,MED,SURR,GLAM,391,385,SUR,2nd Inning,5,5_2nd Inning,WK_2nd Inning,GLAM,2nd Inning,5,5_2nd Inning,BAT_2nd Inning,WK,BAT,Different,6,5,6:5,Different_6:5,Different_2nd Inning_6:5,Different_2nd Inning_6:5,Different_WK_6:5,Different_BAT_6:5,Different_5_6:5,Different_5_6:5,6.0,Yes,No,,,
20240530DURHLANCS,DURH,LOW,HIGH,LANCS,LOW,LOW,DURH,LANCS,69,492,LANCS,2nd Inning,8,8_2nd Inning,ALL_2nd Inning,LANCS,2nd Inning,10,10_2nd Inning,BOWL_2nd Inning,ALL,BOWL,Same,3,8,8:3,Same_8:3,Same_2nd Inning_8:3,Same_2nd Inning_8:3,Same_ALL_8:3,Same_BOWL_8:3,Same_8_8:3,Same_10_8:3,,,,,,
20240531ESSEXSOM,ESSEX,HIGH,MED,SOM,HIGH,MED,ESSEX,SOM,384,378,SOM,2nd Inning,6,6_2nd Inning,ALL_2nd Inning,ESSEX,1st Inning,2,2_1st Inning,BAT_1st Inning,ALL,BAT,Different,6,5,6:5,Different_6:5,Different_2nd Inning_6:5,Different_1st Inning_6:5,Different_ALL_6:5,Different_BAT_6:5,Different_6_6:5,Different_2_6:5,6.0,No,No,,,
20240602DERBSLANCS,DERBS,LOW,HIGH,LANCS,MED,MED,LANCS,DERBS,297,452,LANCS,1st Inning,8,8_1st Inning,ALL_1st Inning,DERBS,2nd Inning,8,8_2nd Inning,BOWL_2nd Inning,ALL,BOWL,Different,5,6,6:5,Different_6:5,Different_1st Inning_6:5,Different_2nd Inning_6:5,Different_ALL_6:5,Different_BOWL_6:5,Different_8_6:5,Different_8_6:5,5.0,Yes,No,5.0,Yes,No
20240602SOMSUR,SOM,LOW,HIGH,SUR,MED,HIGH,SURR,SOM,353,524,SUR,2nd Inning,5,5_2nd Inning,WK_2nd Inning,SOM,2nd Inning,7,7_2nd Inning,ALL_2nd Inning,WK,ALL,Different,5,6,6:5,Different_6:5,Different_2nd Inning_6:5,Different_2nd Inning_6:5,Different_WK_6:5,Different_ALL_6:5,Different_5_6:5,Different_7_6:5,5.0,Yes,No,6.0,Yes,No
20240602MIDDXESSEX,MIDDX,HIGH,MED,ESSEX,HIGH,MED,MIDDX,ESSEX,371,439,ESSEX,2nd Inning,3,3_2nd Inning,WK_2nd Inning,MIDDX,1st Inning,4,4_1st Inning,BAT_1st Inning,WK,BAT,Different,5,6,6:5,Different_6:5,Different_2nd Inning_6:5,Different_1st Inning_6:5,Different_WK_6:5,Different_BAT_6:5,Different_3_6:5,Different_4_6:5,4.0,Yes,No,6.0,No,Yes
20240531KENTMIDDX,KENT,HIGH,HIGH,MIDDX,LOW,HIGH,KENT,MIDDX,541,335,MIDDX,2nd Inning,7,7_2nd Inning,ALL_2nd Inning,KENT,1st Inning,11,11_1st Inning,BOWL_1st Inning,ALL,BOWL,Different,7,4,7:4,Different_7:4,Different_2nd Inning_7:4,Different_1st Inning_7:4,Different_ALL_7:4,Different_BOWL_7:4,Different_7_7:4,Different_11_7:4,,,,,,
20240530ESSEXGLOUC,ESSEX,MED,HIGH,GLOUC,MED,MED,ESSEX,GLOUC,328,436,GLOUC,2nd Inning,10,10_2nd Inning,BOWL_2nd Inning,GLOUC,2nd Inning,11,11_2nd Inning,ALL_2nd Inning,BOWL,ALL,Same,6,5,6:5,Same_6:5,Same_2nd Inning_6:5,Same_2nd Inning_6:5,Same_BOWL_6:5,Same_ALL_6:5,Same_10_6:5,Same_11_6:5,,,,,,
20240531GLOUCSUSS,GLOUC,MED,HIGH,SUSS,MED,MED,GLOUC,SUSS,298,456,SUSS,2nd Inning,11,11_2nd Inning,BOWL_2nd Inning,GLOUC,1st Inning,9,9_1st Inning,ALL_1st Inning,BOWL,ALL,Different,5,6,6:5,Different_6:5,Different_2nd Inning_6:5,Different_1st Inning_6:5,Different_BOWL_6:5,Different_ALL_6:5,Different_11_6:5,Different_9_6:5,5.0,Yes,Yes,,,
20240602SUSSGLAM,SUSS,MED,MED,GLAM,HIGH,MED,GLAM,SUSS,326,383,SUSS,2nd Inning,11,11_2nd Inning,BOWL_2nd Inning,GLAM,1st Inning,4,4_1st Inning,BAT_1st Inning,BOWL,BAT,Different,4,7,7:4,Different_7:4,Different_2nd Inning_7:4,Different_1st Inning_7:4,Different_BOWL_7:4,Different_BAT_7:4,Different_11_7:4,Different_4_7:4,6.0,Yes,No,5.0,No,Yes
