GameID,Team A,Team A Score,Team A WKLoss,Team B,Team B Score,Team B WKLoss,DT_firstInning,DT_secondInning,DT_Points_TeamA,DT_Points_TeamB,DT_C_Team,DT_C_Inning,DT_C_BattingOrder,DT_C_BattingOrder_Inning,DT_C_Position_Inning,DT_VC_Team,DT_VC_Inning,DT_VC_BattingOrder,DT_VC_BattingOrder_Inning,DT_VC_Position_Inning,DT_C_Position,DT_VC_Position,DT_CVC,DT_TeamA_PlayersCount,DT_TeamB_PlayersCount,DT_Ratio_of_Players,DT_CVC_Ratio,DT_C_Ratio_Inning,DT_VC_Ratio_Inning,DT_C_Position_Ratio_of_Players,DT_VC_Position_Ratio_of_Players,DT_C_BattingOrder_Ratio_Inning,DT_VC_BattingOrder_Ratio_Inning,DT_TeamA_PrevMatch_PlayerCount,DT_TeamA_PrevMatch_Captain,DT_TeamA_PrevMatch_Vice-Captain,DT_TeamB_PrevMatch_PlayerCount,DT_TeamB_PrevMatch_Captain,DT_TeamB_PrevMatch_Vice-Captain
20240602CANUSA,CAN,HIGH,MED,USA,HIGH,LOW,CAN,USA,332,333,USA,2nd Inning,4,4_2nd Inning,BAT_2nd Inning,USA,2nd Inning,3,3_2nd Inning,WK_2nd Inning,BAT,WK,Same,6,5,6:5,Same_6:5,Same_2nd Inning_6:5,Same_2nd Inning_6:5,Same_BAT_6:5,Same_WK_6:5,Same_4_6:5,Same_3_6:5,,,,,,
20240602PNGWI,PNG,MED,HIGH,WI,MED,MED,PNG,WI,312,371,PNG,1st Inning,2,2_1st Inning,ALL_1st Inning,WI,2nd Inning,7,7_2nd Inning,ALL_2nd Inning,ALL,ALL,Different,5,6,6:5,Different_6:5,Different_1st Inning_6:5,Different_2nd Inning_6:5,Different_ALL_6:5,Different_ALL_6:5,Different_2_6:5,Different_7_6:5,,,,,,
20240603OMANAM,OMA,LOW,HIGH,NAM,LOW,MED,OMA,NAM,322,454,NAM,2nd Inning,9,9_2nd Inning,BOWL_2nd Inning,OMA,1st Inning,8,8_1st Inning,ALL_1st Inning,BOWL,ALL,Different,6,5,6:5,Different_6:5,Different_2nd Inning_6:5,Different_1st Inning_6:5,Different_BOWL_6:5,Different_ALL_6:5,Different_9_6:5,Different_8_6:5,,,,,,
20240603SASL,SA,LOW,LOW,SL,LOW,HIGH,SL,SA,395,211,SA,2nd Inning,10,10_2nd Inning,BOWL_2nd Inning,SA,2nd Inning,9,9_2nd Inning,BOWL_2nd Inning,BOWL,BOWL,Same,6,5,6:5,Same_6:5,Same_2nd Inning_6:5,Same_2nd Inning_6:5,Same_BOWL_6:5,Same_BOWL_6:5,Same_10_6:5,Same_9_6:5,0.0,No,No,,,
20240604NEPNED,NEP,LOW,HIGH,NED,LOW,LOW,NEP,NED,232,456,NED,2nd Inning,8,8_2nd Inning,ALL_2nd Inning,NED,2nd Inning,2,2_2nd Inning,BAT_2nd Inning,ALL,BAT,Same,6,5,6:5,Same_6:5,Same_2nd Inning_6:5,Same_2nd Inning_6:5,Same_ALL_6:5,Same_BAT_6:5,Same_8_6:5,Same_2_6:5,,,,,,
20240604UGAAFG,UGA,LOW,HIGH,AFG,HIGH,MED,AFG,UGA,182,597,AFG,1st Inning,11,11_1st Inning,BOWL_1st Inning,AFG,1st Inning,1,1_1st Inning,WK_1st Inning,BOWL,WK,Same,4,7,7:4,Same_7:4,Same_1st Inning_7:4,Same_1st Inning_7:4,Same_BOWL_7:4,Same_WK_7:4,Same_11_7:4,Same_1_7:4,,,,,,
20240605INDIRE,IND,LOW,LOW,IRE,LOW,HIGH,IRE,IND,484,134,IND,2nd Inning,6,6_2nd Inning,ALL_2nd Inning,IND,2nd Inning,9,9_2nd Inning,BOWL_2nd Inning,ALL,BOWL,Same,7,4,7:4,Same_7:4,Same_2nd Inning_7:4,Same_2nd Inning_7:4,Same_ALL_7:4,Same_BOWL_7:4,Same_6_7:4,Same_9_7:4,,,,,,
20240605PNGUGA,PNG,LOW,HIGH,UGA,LOW,MED,PNG,UGA,252,442,UGA,2nd Inning,11,11_2nd Inning,BOWL_2nd Inning,UGA,2nd Inning,5,5_2nd Inning,ALL_2nd Inning,BOWL,ALL,Same,4,7,7:4,Same_7:4,Same_2nd Inning_7:4,Same_2nd Inning_7:4,Same_BOWL_7:4,Same_ALL_7:4,Same_11_7:4,Same_5_7:4,5.0,Yes,No,4.0,No,No
20240606OMAAUS,OMA,LOW,HIGH,AUS,MED,MED,AUS,OMA,249,476,AUS,1st Inning,5,5_1st Inning,ALL_1st Inning,OMA,2nd Inning,8,8_2nd Inning,ALL_2nd Inning,ALL,ALL,Different,5,6,6:5,Different_6:5,Different_1st Inning_6:5,Different_2nd Inning_6:5,Different_ALL_6:5,Different_ALL_6:5,Different_5_6:5,Different_8_6:5,6.0,No,Yes,,,
20240606PAKUSA,PAK,MED,MED,USA,MED,LOW,PAK,USA,221,377,USA,2nd Inning,9,9_2nd Inning,BOWL_2nd Inning,USA,2nd Inning,10,10_2nd Inning,BOWL_2nd Inning,BOWL,BOWL,Same,5,6,6:5,Same_6:5,Same_2nd Inning_6:5,Same_2nd Inning_6:5,Same_BOWL_6:5,Same_BOWL_6:5,Same_9_6:5,Same_10_6:5,,,,5.0,Yes,Yes
20240606SCOTNAM,SCOT,MED,MED,NAM,MED,HIGH,NAM,SCOT,0,265,NAM,1st Inning,4,4_1st Inning,ALL_1st Inning,SCO,2nd Inning,10,10_2nd Inning,BOWL_2nd Inning,ALL,BOWL,Different,7,4,7:4,Different_7:4,Different_1st Inning_7:4,Different_2nd Inning_7:4,Different_ALL_7:4,Different_BOWL_7:4,Different_4_7:4,Different_10_7:4,,,,5.0,Yes,No
20240607IRECAN,IRE,LOW,MED,CAN,MED,MED,CAN,IRE,292,349,IRE,2nd Inning,8,8_2nd Inning,ALL_2nd Inning,CAN,1st Inning,5,5_1st Inning,BAT_1st Inning,ALL,BAT,Different,5,6,6:5,Different_6:5,Different_2nd Inning_6:5,Different_1st Inning_6:5,Different_ALL_6:5,Different_BAT_6:5,Different_8_6:5,Different_5_6:5,4.0,No,No,6.0,No,No
20240607NZAFG,NZ,LOW,HIGH,AFG,MED,MED,AFG,NZ,244,566,AFG,1st Inning,5,5_1st Inning,BOWL_1st Inning,AFG,1st Inning,11,11_1st Inning,BOWL_1st Inning,BOWL,BOWL,Same,5,6,6:5,Same_6:5,Same_1st Inning_6:5,Same_1st Inning_6:5,Same_BOWL_6:5,Same_BOWL_6:5,Same_5_6:5,Same_11_6:5,,,,7.0,Yes,Yes
20240608ENGAUS,ENG,MED,MED,AUS,HIGH,MED,AUS,ENG,329,383,ENG,2nd Inning,2,2_2nd Inning,WK_2nd Inning,AUS,1st Inning,5,5_1st Inning,ALL_1st Inning,WK,ALL,Different,5,6,6:5,Different_6:5,Different_2nd Inning_6:5,Different_1st Inning_6:5,Different_WK_6:5,Different_ALL_6:5,Different_2_6:5,Different_5_6:5,,,,6.0,Yes,No
20240608SANED,SA,LOW,MED,NED,LOW,HIGH,NED,SA,405,326,NED,1st Inning,8,8_1st Inning,ALL_1st Inning,SA,2nd Inning,11,11_2nd Inning,BOWL_2nd Inning,ALL,BOWL,Different,5,6,6:5,Different_6:5,Different_1st Inning_6:5,Different_2nd Inning_6:5,Different_ALL_6:5,Different_BOWL_6:5,Different_8_6:5,Different_11_6:5,0.0,No,No,5.0,Yes,Yes
20240608SLBAN,SL,LOW,HIGH,BAN,LOW,HIGH,SL,BAN,374,428,SL,1st Inning,11,11_1st Inning,BOWL_1st Inning,BAN,2nd Inning,11,11_2nd Inning,BOWL_2nd Inning,BOWL,BOWL,Different,5,6,6:5,Different_6:5,Different_1st Inning_6:5,Different_2nd Inning_6:5,Different_BOWL_6:5,Different_BOWL_6:5,Different_11_6:5,Different_11_6:5,5.0,No,No,,,
